Node,KC
C0006507,8.55E-05
C0006521,0.000686741
C0006549,0.000172225
C0006556,0.003078859
C0006558,0.000706406
C0006560,0.010922921
C0006611,0.000783302
C0006613,8.90E-05
C0006622,8.44E-05
C0006625,0.001228921
C0006629,0.00051497
C0006631,0.000603401
C0006632,0.001377494
C0006635,0.000338837
C0006639,0.000169442
C0006644,0.001386046
C0006655,0.000173031
C0006657,0.001386752
C0006660,0.000798434
C0006663,0.002145417
C0006664,8.43E-05
C0006666,0.000253245
C0006668,0.000173489
C0006669,0.002176484
C0006674,0.000682362
C0006675,0.005953106
C0006681,0.000169244
C0006684,0.001742858
C0006685,0.000422917
C0006686,8.45E-05
C0006701,0.000253259
C0006706,0.00033808
C0006711,8.55E-05
C0006732,0.00044845
C0006736,0.001613145
C0006752,0.000777016
C0006764,0.002010221
C0006765,0.001032836
C0006772,0.000597499
C0006777,0.001252287
C0006779,0.000506994
C0006780,8.45E-05
C0006781,0.000512433
C0006784,0.001803964
C0006786,8.98E-05
C0006790,8.44E-05
C0006801,0.003814878
C0006809,8.63E-05
C0006811,0.000174382
C0006813,0.00051872
C0006818,0.000620837
C0006819,0.000342416
C0006824,8.45E-05
C0006826,0.045095655
C0006836,0.000177718
C0006837,0.001232548
C0006840,0.000426405
C0006849,0.00016912
C0006856,8.56E-05
C0006861,0.000632494
C0006863,0.002381203
C0006864,0.001956397
C0006873,0.000271188
C0006882,0.000168874
C0006901,0.002469531
C0006902,0.000168865
C0006904,9.05E-05
C0006906,0.000353235
C0006916,8.61E-05
C0006931,0.001018369
C0006933,0.00623756
C0006935,8.44E-05
C0006938,0.001477498
C0006943,8.65E-05
C0006945,8.46E-05
C0006949,0.000950405
C0006960,0.00029947
C0006968,0.001032881
C0007004,0.006139562
C0007009,0.002344415
C0007010,0.000472942
C0007012,0.002624544
C0007016,8.49E-05
C0007018,0.000940856
C0007022,0.000612268
C0007026,0.000253572
C0007028,0.000169211
C0007036,8.47E-05
C0007043,8.78E-05
C0007054,8.44E-05
C0007061,0.000648141
C0007066,0.000597682
C0007072,0.000169378
C0007075,0.000279213
C0007082,0.00200301
C0007090,0.001998945
C0007091,9.02E-05
C0007093,0.000253324
C0007095,0.000168874
C0007097,0.004578189
C0007099,0.000259412
C0007102,0.003253886
C0007103,0.001369329
C0007107,0.00052339
C0007112,0.000516877
C0007113,0.003600186
C0007114,0.000932812
C0007115,0.000684535
C0007117,0.000388564
C0007118,8.44E-05
C0007120,8.52E-05
C0007121,0.000428473
C0007124,0.001081089
C0007129,0.000763465
C0007130,0.000100902
C0007131,0.006014512
C0007134,0.003914624
C0007135,0.000168874
C0007137,0.004842174
C0007138,0.00133064
C0007143,0.000172674
C0007144,0.000340204
C0007158,0.001109941
C0007166,0.000197422
C0007177,0.001383775
C0007179,0.000213071
C0007188,0.000426778
C0007189,0.000432648
C0007193,0.001594043
C0007194,0.000966291
